Drug1_ID,Drug2_ID,Y,Neg samples
DB01351,DB04948,59,DB06603$t
DB01433,DB00436,48,DB09210$h
DB00899,DB00296,48,DB06819$t
DB00335,DB00678,48,DB01551$h
DB00589,DB00619,46,DB01050$h
DB00312,DB04896,48,DB00780$t
DB00805,DB08931,59,DB01215$h
DB00575,DB00528,59,DB00617$h
DB01591,DB06738,48,DB01268$h
DB00647,DB01319,46,DB00718$h
DB00253,DB00655,72,DB01218$h
DB01401,DB01600,48,DB09223$t
DB00186,DB00850,48,DB06605$h
DB00990,DB06636,46,DB01623$t
DB01047,DB00976,72,DB09166$t
DB01589,DB00270,46,DB00181$h
DB00748,DB08880,46,DB01611$t
DB01161,DB13323,48,DB00758$t
DB00370,DB04871,48,DB00295$h
DB00889,DB01242,19,DB00401$t
DB01116,DB00273,48,DB06228$h
DB00696,DB01406,48,DB00575$t
DB00420,DB01274,19,DB09041$h
DB00869,DB01144,48,DB01180$t
DB04844,DB05812,72,DB00827$t
DB04552,DB00838,48,DB00529$h
DB00981,DB00496,69,DB03756$h
DB00285,DB00476,48,DB00521$h
DB01136,DB09118,72,DB00263$h
DB01220,DB00678,72,DB08811$h
DB00296,DB00187,48,DB01183$h
DB00818,DB00968,48,DB01098$t
DB00752,DB06712,59,DB09290$t
DB00617,DB00320,46,DB00262$t
DB02709,DB00429,69,DB06729$h
DB06802,DB09211,69,DB00769$h
DB00402,DB09198,46,DB01115$t
DB01320,DB00525,74,DB00459$h
DB00298,DB00323,48,DB00745$t
DB00968,DB01162,48,DB06712$h
DB04951,DB08905,48,DB09112$h
DB00675,DB00705,72,DB00182$h
DB00240,DB01233,48,DB00502$t
DB00988,DB06414,46,DB01028$t
DB00482,DB00630,48,DB00775$t
DB00402,DB09128,48,DB11636$h
DB00187,DB00489,48,DB00215$t
DB01615,DB01618,48,DB01042$h
DB00818,DB01129,46,DB11342$t
DB01175,DB04868,46,DB01162$h
DB00462,DB01081,48,DB00772$h
DB00529,DB00903,72,DB00875$h
DB00623,DB01026,46,DB08800$t
DB01028,DB01227,48,DB06292$t
DB01359,DB00184,48,DB01178$h
DB00346,DB00612,59,DB00201$h
DB00241,DB00427,48,DB08800$t
DB01045,DB08930,74,DB06412$t
DB00628,DB09345,48,DB09073$t
DB00940,DB00273,48,DB00370$h
DB00270,DB00629,59,DB06700$t
DB01611,DB06697,32,DB11348$h
DB00925,DB08932,59,DB05294$h
DB00304,DB00569,69,DB00297$t
DB08873,DB00539,48,DB01135$t
DB09071,DB01149,72,DB00437$h
DB01197,DB01026,46,DB08918$t
DB00734,DB09118,72,DB01553$t
DB00619,DB01072,72,DB00351$h
DB00398,DB09330,72,DB00951$h
DB04552,DB09288,48,DB00477$t
DB01184,DB00757,19,DB01259$h
DB01137,DB00889,19,DB09038$h
DB00608,DB04574,48,DB00441$h
DB06216,DB01615,48,DB01141$t
DB00681,DB00529,56,DB00705$h
DB00498,DB00814,5,DB00170$h
DB09039,DB09074,72,DB01058$h
DB01551,DB00296,48,DB01340$h
DB01220,DB09040,72,DB00925$t
DB01609,DB01708,74,DB00216$h
DB01591,DB00362,46,DB01400$t
DB08815,DB08882,69,DB00613$t
DB04743,DB00227,48,DB01183$h
DB00678,DB00774,59,DB01489$t
DB00990,DB01263,46,DB01174$t
DB00461,DB00630,48,DB00791$h
DB09342,DB00181,48,DB06696$h
DB00497,DB00907,46,DB00917$t
DB00959,DB00487,48,DB06176$h
DB06144,DB06594,48,DB09330$h
DB01060,DB08933,72,DB00170$h
DB00844,DB11106,48,DB00120$t
DB00336,DB00169,46,DB01563$t
DB00631,DB00232,48,DB00710$h
DB06144,DB00673,72,DB08930$h
DB08912,DB00850,74,DB01017$h
DB00321,DB00705,46,DB12278$h
DB00806,DB00612,59,DB00727$t
DB01192,DB00906,48,DB04339$t
DB01131,DB00501,46,DB01438$h
DB00861,DB00655,48,DB01041$t
DB09292,DB00812,48,DB01264$t
DB04871,DB09074,46,DB12332$t
DB00783,DB01211,46,DB09488$t
DB00682,DB06595,46,DB00885$t
DB00356,DB00747,48,DB00736$h
DB00537,DB09292,81,DB01041$t
DB00682,DB00621,5,DB01591$h
DB00514,DB00477,46,DB01074$t
DB01411,DB01118,72,DB08883$t
DB00904,DB06414,46,DB00775$t
DB00945,DB00710,48,DB00794$h
DB00953,DB00281,46,DB09027$t
DB01200,DB00631,48,DB00289$h
