Drug1_ID,Drug2_ID,Y,Neg samples
DB01240,DB00374,52,DB01065$t
DB01115,DB01136,59,DB06698$t
DB00363,DB01154,48,DB00755$h
DB00231,DB00582,46,DB00813$h
DB01250,DB06725,56,DB09138$t
DB00503,DB04878,69,DB04272$h
DB09280,DB13879,74,DB00681$h
DB01220,DB01182,72,DB05528$t
DB01245,DB01377,20,DB01466$h
DB06228,DB01166,5,DB01102$h
DB04948,DB00960,24,DB01209$h
DB01210,DB00784,36,DB01151$t
DB00961,DB00450,15,DB11609$t
DB01059,DB00326,66,DB00371$t
DB00202,DB00813,53,DB01579$h
DB00468,DB06825,19,DB00753$h
DB01708,DB01420,73,DB00206$t
DB00749,DB01059,26,DB00800$t
DB00951,DB01045,79,DB01435$h
DB00279,DB01223,3,DB09220$h
DB00454,DB06767,64,DB00266$t
DB00264,DB00816,13,DB01071$h
DB01087,DB06697,32,DB00295$h
DB00352,DB01078,57,DB00175$t
DB00391,DB01618,35,DB00920$h
DB01263,DB06287,76,DB02513$t
DB00468,DB00419,8,DB00308$h
DB00569,DB04575,11,DB01160$t
DB00737,DB00765,31,DB00703$t
DB09082,DB00999,82,DB09280$t
DB01580,DB06207,29,DB01602$h
DB00865,DB06723,71,DB06335$h
DB01092,DB00483,81,DB00660$h
DB09352,DB00924,22,DB08811$t
DB01077,DB00798,23,DB00872$h
DB00295,DB01576,68,DB00483$t
DB09104,DB01013,2,DB00292$h
DB01365,DB01403,60,DB00805$t
DB00715,DB01227,63,DB01222$h
DB00937,DB00737,75,DB01619$h
DB00805,DB00454,40,DB00918$t
DB00727,DB00248,61,DB09102$h
DB07615,DB00903,28,DB00726$t
DB01245,DB06810,39,DB01057$t
DB01393,DB09055,47,DB09282$t
DB09076,DB09300,1,DB06684$h
DB00862,DB00264,9,DB09536$h
DB00629,DB00696,70,DB01355$h
DB00457,DB00368,4,DB01599$t
DB01395,DB00784,67,DB06799$h
DB00338,DB06701,17,DB13925$h
DB06154,DB06267,37,DB04575$h
DB01070,DB00310,50,DB01083$h
DB00773,DB08895,33,DB00204$t
DB00091,DB01181,10,DB06766$t
DB00353,DB00264,18,DB00743$t
DB01062,DB09272,38,DB01061$t
DB01356,DB01242,34,DB00585$h
DB00999,DB01104,54,DB08908$h
DB00285,DB01407,84,DB00188$t
DB00531,DB00352,14,DB00835$h
DB01248,DB00515,62,DB06777$h
DB00695,DB01226,16,DB00292$h
DB01234,DB01226,21,DB01088$t
DB09063,DB01013,77,DB09061$h
DB00370,DB00211,83,DB00599$t
DB00437,DB01197,85,DB01586$h
DB12364,DB00573,65,DB01139$h
DB00230,DB01355,7,DB01138$h
DB00932,DB04575,27,DB01245$h
DB00783,DB00749,80,DB06206$h
DB00670,DB00761,58,DB09281$t
DB11630,DB00460,0,DB06203$t
DB06204,DB00377,51,DB06712$h
DB00735,DB00396,12,DB09091$t
DB01626,DB00708,78,DB00218$t
DB00672,DB01032,42,DB00801$h
DB01120,DB00230,49,DB00973$t
DB01045,DB06209,25,DB00703$t
DB00796,DB00872,55,DB00209$h
DB00958,DB01172,6,DB01319$h
DB09245,DB00289,43,DB01288$t
DB00866,DB06709,45,DB08895$t
DB08824,DB00490,44,DB09227$h
DB00968,DB01247,30,DB00287$h
DB00594,DB00091,41,DB06694$t
DB00313,DB00980,48,DB01033$t
DB01034,DB00401,48,DB00198$h
DB00872,DB12332,72,DB00663$h
DB00899,DB00189,48,DB00697$h
DB09280,DB00997,74,DB01348$t
DB00648,DB00705,74,DB00377$h
DB00332,DB00199,46,DB00425$t
DB00812,DB00896,48,DB09063$t
DB00195,DB00246,46,DB09087$h
DB00379,DB00091,46,DB00734$t
DB09101,DB04855,46,DB00758$t
DB00252,DB00543,48,DB09161$h
DB06789,DB00220,46,DB06196$t
DB00247,DB00683,48,DB01397$t
DB00408,DB01267,48,DB00337$h
DB00434,DB01104,69,DB13153$h
DB00214,DB04878,69,DB00547$t
DB00590,DB08822,48,DB06689$t
DB00091,DB01034,46,DB01234$h
DB00911,DB06717,72,DB11575$t
DB00857,DB06595,46,DB09232$t
DB00193,DB00494,48,DB06228$h
DB00327,DB01156,46,DB00945$t
DB00347,DB00320,46,DB09084$t
DB00277,DB01012,46,DB00569$t
DB00245,DB04868,46,DB00462$t
DB00772,DB05812,72,DB06816$t
DB00193,DB08872,48,DB00610$t
DB00344,DB00881,72,DB01207$h
DB01137,DB00199,19,DB08439$t
DB01035,DB08893,19,DB06786$h
DB01030,DB00501,72,DB00170$t
DB09343,DB00668,72,DB00257$t
DB01544,DB01563,48,DB04398$h
DB13874,DB06697,46,DB11619$t
DB08822,DB00784,48,DB00622$h
DB01248,DB00724,48,DB00515$t
DB00603,DB01251,69,DB08875$h
DB00683,DB01501,48,DB00275$t
DB01080,DB01621,48,DB01708$h
DB00898,DB00231,15,DB01251$t
DB09280,DB06786,74,DB00781$t
DB00285,DB01247,48,DB01440$t
DB00712,DB00770,69,DB11239$t
DB00804,DB06738,48,DB08941$t
DB01100,DB01076,48,DB00380$h
DB00759,DB01232,46,DB13231$t
DB01626,DB00601,48,DB00720$h
DB01563,DB01104,48,DB06480$t
DB00418,DB01115,59,DB00550$t
DB05239,DB01263,72,DB06707$t
DB01238,DB00196,72,DB00823$h
DB01142,DB01168,48,DB06717$t
DB00541,DB01110,72,DB08896$h
DB04861,DB00735,36,DB05039$t
DB01220,DB00783,74,DB08799$t
DB00175,DB00091,72,DB00585$h
DB01221,DB00257,46,DB00298$t
DB00458,DB00169,46,DB00528$t
DB09068,DB00243,46,DB00298$h
DB00312,DB01076,3,DB00910$h
DB00907,DB06636,46,DB00714$t
DB01580,DB01087,46,DB00498$t
DB00656,DB01621,48,DB06694$h
DB00857,DB00379,46,DB06794$h
DB09270,DB00255,72,DB00422$h
DB08976,DB00972,48,DB01427$h
DB00454,DB01621,48,DB01377$h
DB00193,DB00366,15,DB00663$h
DB00443,DB00483,48,DB01612$t
DB00911,DB00243,46,DB09227$t
DB01065,DB08910,48,DB01575$h
DB01708,DB09074,46,DB01084$t
DB00732,DB01551,48,DB00177$h
DB00195,DB00343,48,DB06202$h
DB00800,DB00808,59,DB01153$t
DB00639,DB09238,48,DB00288$h
